2025-07-29 00:30:43,4999,50.00,25.30,25.19
2025-07-29 00:33:24,4999,50.00,25.30,25.19
2025-07-29 00:48:24,10022,50.00,25.30,25.19
2025-07-29 01:03:24,15047,50.00,25.30,25.19
2025-07-29 01:18:24,20071,50.00,25.30,25.19
2025-07-29 01:33:24,25094,50.00,25.30,25.19
2025-07-29 01:48:24,30117,50.00,25.30,25.19
2025-07-29 02:03:24,35142,50.00,25.30,25.19
2025-07-29 02:18:24,40166,50.00,25.30,25.19
2025-07-29 02:33:24,45189,50.00,25.30,25.19
2025-07-29 02:48:24,50212,50.00,25.30,25.19
2025-07-29 03:03:24,55237,50.00,25.30,25.19
2025-07-29 03:18:24,60262,50.00,25.30,25.19
2025-07-29 03:33:24,65285,50.00,25.30,25.19
2025-07-29 03:48:24,70308,50.00,25.30,25.19
2025-07-29 04:03:24,75332,50.00,25.30,25.19
2025-07-29 04:18:24,80357,50.00,25.30,25.19
2025-07-29 04:33:24,85381,50.00,25.30,25.19
2025-07-29 04:48:24,90403,50.00,25.30,25.19
2025-07-29 05:03:24,95427,50.00,25.30,25.19
2025-07-29 05:18:24,100452,50.00,25.30,25.19
2025-07-29 05:33:24,105476,50.00,25.30,25.19
2025-07-29 05:48:24,110498,50.00,25.30,25.19
2025-07-29 06:03:24,115522,50.00,25.30,25.19
2025-07-29 06:18:24,120546,50.00,25.30,25.19
2025-07-29 06:33:24,125571,50.00,25.30,25.19
2025-07-29 06:48:24,130594,50.00,25.30,25.19
2025-07-29 07:03:24,135618,50.00,25.30,25.19
2025-07-29 07:18:24,140641,50.00,25.30,25.19
2025-07-29 07:33:24,145665,50.00,25.30,25.19
2025-07-29 07:48:24,150689,50.00,25.30,25.19
2025-07-29 08:03:24,155714,50.00,25.30,25.19
2025-07-29 08:18:24,160738,50.00,25.30,25.19
2025-07-29 08:33:24,165761,50.00,25.30,25.19
2025-07-29 08:48:24,170784,50.00,25.30,25.19
2025-07-29 09:03:24,175809,50.00,25.30,25.19
2025-07-29 09:18:24,180834,50.00,25.30,25.19
2025-07-29 09:33:24,185858,50.00,25.30,25.19
2025-07-29 09:48:24,190880,50.00,25.30,25.19
2025-07-29 10:03:24,195904,50.00,25.30,25.19
